Number of reads in file,360194
Number of reads passing length filter,293493
Number of reads used for demultiplexing,304862
Number of samples in demultiplexing file,8
Number of samples with >=5X coverage,8
Number of good barcodes obtained after first alignment of up to 200 reads,6
Number of erroneous barcodes obtained after first alignment of up to 200 reads,2
Number of good barcodes obtained after aligning similar reads,0
Number of erroneous barcodes obtained after aligning similar reads,2
Number of barcodes fixed,2
Final number of barcodes,8
Final number of barcodes that cannot be fixed,0
Number of Ns in final barcodes,3
Number of filtered barcodes,8
Number of QC_Compliant barcodes,6
Number of barcodes with 1-5 errors,2
Number of barcodes with 6-10 errors,0
Number of barcodes with 11-15 errors,0
Number of barcodes with over 15 errors,0
