Number of reads in file,264578
Number of reads passing length filter,258600
Number of reads used for demultiplexing,268454
Number of samples in demultiplexing file,113
Number of samples with >=5X coverage,113
Number of good barcodes obtained after first alignment of up to 200 reads,0
Number of erroneous barcodes obtained after first alignment of up to 200 reads,113
Number of good barcodes obtained after aligning similar reads,0
Number of erroneous barcodes obtained after aligning similar reads,112
Number of barcodes fixed,0
Final number of barcodes,0
Final number of barcodes that cannot be fixed,113
Number of Ns in final barcodes,0
Number of filtered barcodes,0
Number of QC_Compliant barcodes,0
Number of barcodes with 1-5 errors,0
Number of barcodes with 6-10 errors,0
Number of barcodes with 11-15 errors,0
Number of barcodes with over 15 errors,0
