Number of reads in file,426031
Number of reads passing length filter,190789
Number of reads used for demultiplexing,173486
Number of samples in demultiplexing file,9
Number of samples with >=5X coverage,9
Number of good barcodes obtained after first alignment of up to 200 reads,6
Number of erroneous barcodes obtained after first alignment of up to 200 reads,3
Number of good barcodes obtained after aligning similar reads,0
Number of erroneous barcodes obtained after aligning similar reads,3
Number of barcodes fixed,3
Final number of barcodes,9
Final number of barcodes that cannot be fixed,0
Number of Ns in final barcodes,33
Number of filtered barcodes,6
Number of QC_Compliant barcodes,6
Number of barcodes with 1-5 errors,1
Number of barcodes with 6-10 errors,0
Number of barcodes with 11-15 errors,1
Number of barcodes with over 15 errors,1
